Team,Revenue,Value
Baltimore,245,1000
Boston,370,2100
Chicago White Sox,227,975
Cleveland,207,825
Detroit,254,1125
Houston,175,800
Kansas City,231,700
Los Angeles Angels,304,1300
Minnesota,223,895
New York Yankees,508,3200
Oakland,202,725
Seattle,250,1100
Tampa Bay,188,625
Texas,266,1220
Toronto,226,870
Arizona,211,840
Atlanta,267,1150
Chicago Cubs,302,1800
Cincinnati,227,885
Colorado,214,855
Los Angeles Dodgers,403,2400
Miami,188,650
Milwaukee,226,875
New York Mets,263,1350
Philadelphia,265,1250
Pittsburgh,229,900
St. Louis,294,1400
San Diego,225,890
San Francisco,387,2000
Washington,287,1280
